1	&No	&No	
2	&Sí	&Yes	
3	Enero	January	
4	Febrero	February	
5	Marzo	March	
6	Abril	April	
7	Mayo	May	
8	Junio	June	
9	Julio	July	
10	Agosto	August	
11	Septiembre	September	
13	Octubre	October	
14	Noviembre	November	
15	Diciembre	December	
16	&Abrir Empresas	&Open Set of Books	
17	&Crear Empresas	&Create Set of Books	
18	&Eliminar Empresas	&Delete Set of Books	
19	&Guardar Como	Save as	
20	&Cambiar Idioma	&Switch language	
21	&Salir de <@APPNAME@>	&Exit <@APPNAME@>	
22	&Cuentas	&Accounts	
23	&Presupuestos	&Budgets	
24	&Eliminar	&Delete	
25	&Transacciones Recurrentes	&Repeating transactions	
26	&Facturas Recurrentes	Repeating &invoices	
27	&Artículos de Inventario	&Stock items	
28	Informes del Usuario	&User reports	
29	Cuenta Bancaria	Bank account	
30	Proveedores	Creditors	
31	Clientes	Debtors	
32	Libro Mayor	General ledger	
33	Cuenta de Impuestos	Tax account	
34	Cuenta	Account	
35	Informe del Usuario	User report	
36	Confirmación de Pedido	Order confirmation	
37	Artículos de Inventario	Stock item	
38	Documentos	Documents	
39	Eliminar Facturas	Delete invoices	
40	Eliminar Compras	Delete purchases	
41	Eliminar devoluciones	Delete supplier returns	
42	&Ajustar Inventario	&Adjust stock	
43	&Entrada de Diario	&Journal entry	
44	&Conciliar Banco	&Reconcile bank	
45	&Listado de Documentos	&Documents listing	
46	Registrar Asientos en el Mayor	Input post to ledger	
47	&Notas de Crédito	&Credit notes	
48	&Facturas	&Invoices	
49	&Compras	&Purchases	
50	&Devoluciones	Supplier &returns	
51	&Introducir	&Enter	
52	&Imprimir	&Print	
53	&Actualizar Mayor	&Update ledger	
54	Imprimir &Albaranes	Print &delivery notes	
55	&Tipo de entrada de diario	&Journal type	
56	&Proveedor	&Creditor	
57	&Cliente	&Debtor	
58	&Libro Mayor	&General ledger	
59	&Conciliación	&Reconciliation	
60	&Facturas	&Invoices	
61	&Compras	&Purchases	
62	&Inventario	&Stock	
63	&Impuestos	&Tax	
64	Informes del Usuario	&User reports	
65	&Análisis de Antigüedad	&Age analysis	
66	&Listado	&Listing	
67	&Movimientos	&Movements	
68	&Imprimir Etiquetas	&Print labels	
69	&Avisos de Remesa	&Remittance advises	
70	&Transacciones	&Transactions	
71	&Estados de Cuenta	&Statements	
72	Ejecución de &Presupuesto	&Budget performance	
73	&Plan de Cuentas	&Chart of accounts	
74	Transacciones	Transactions	
75	&Balance de Sumas y Saldos	&Trial balance	
76	&Listado de Pedidos Pendientes	&Backorder listing	
77	&Listado de Notas de Crédito	&Credit note listing	
78	&Listado de Facturas	&Invoice listing	
79	Listado de &Compras	&Purchases listing	
80	&Listado de &Devoluciones	&Returns listing	
81	&Actividades	&Activity	
82	Resumen de &Movimientos	&Movement summary	
83	Informe de Reabastecimiento	&Reorder report	
84	&Listado de Artículos de Inventario	&Stock item listing	
85	Análisis de Ventas	Sales analysis	
86	&Facturas Detalladas	&Invoiced details	
87	Resumen de &Facturas	&Invoiced summary	
88	&Recibos/Pagos Detallados	&Received / paid details	
89	Resumen de Recibos/&Pagos	Received / &paid summary	
90	Control de &Acceso	&Access control	
91	Ruta de &Copia de Seguridad	Backup &path	
92	&Tipos de diarios	&Journal types	
93	&Información de Empresa	Company &info	
94	&Colores	&Colours	
95	Definir &Etiquetas	Define &labels	
96	Proforma	Proforma	
97	&Grupos	&Groups	
98	&Documentos	&Documents	
99	&Impresora	&Printer	
100	&Fechas de Informes	&Reporting dates	
101	&Vendedores	Sales&person	
102	&Estados de Cuenta	&Statements	
103	Información de Inventario	Stock information	
104	&Copia/Restaurar Empresas	&Backup / Restore Set of Books	
105	&Calculadora	&Calculator	
106	Verificar Integridad de &Datos	Data integrity check	
107	&Exportar	&Export	
108	Procesos &Globales	&Global processes	
109	&Importar	&Import	
110	&Reenlazar Items Abiertos	&Open item relink	
111	&Restaurar desde Copia	&Restore from backup	
112	&Visor	&Viewer	
113	&Soporte	&Support	
114	&Limpiar/Reiniciar	&Clear / Reset	
115	&Cierre del Ejercicio	&Do year end	
116	&Diario de caja/banco	&Reconcile	
117	&Transferir Transacciones	&Transfer transactions	
118	Desconciliar	Unreconcile	
119	Acerca de <@APPNAME@>	About <@APPNAME@>	
120	Archivo	File	
121	Editar	Edit	
122	E&ntrada	Input	
123	Informes	Reports	
124	Configuración	Setup	
125	&Herramientas	Tools	
126	&Ayuda	Help	
127	Uno	One	
128	Dos	Two	
129	Tres	Three	
130	Cuatro	Four	
131	Cinco	Five	
132	Seis	Six	
133	Siete	Seven	
134	Ocho	Eight	
135	Nueve	Nine	
136	Diez	Ten	
137	Once	Eleven	
138	Doce	Twelve	
139	Trece	Thirteen	
140	Catorce	Fourteen	
141	Quince	Fifteen	
142	Dieciséis	Sixteen	
143	Diecisiete	Seventeen	
144	Dieciocho	Eighteen	
145	Diecinueve	Nineteen	
146	Veinte	Twenty	
147	Treinta	Thirty	
148	Cuarenta	Forty	
149	Cincuenta	Fifty	
150	Sesenta	Sixty	
151	Setenta	Seventy	
152	Ochenta	Eighty	
153	Noventa	Ninety	
154	Cien	Hundred	
155	Mil	Thousand	
156	Millones	Million	
157	Peso	Rands	
158	Centavo	Cents	
159	Precio unitario	Piece price	
160	Clientes	Debtors	
161	Proveedores	Creditors	
162	Historial de Facturas	Invoice history	
163	&Abrir	&Open	
164	Entrada de diario	Journal entry	
165	Factura	Invoice	
166	Diario de caja/banco	Cash/Bank entry	
167	&Aceptar	&OK	
168	&Cancelar	&Cancel	
169	&Cerrar	&Close	
170	Unidad de Embalaje	Packaging unit	
171	Seleccionar Idioma	Choose a language	
172	Empresas	Set of Books	
173	Eliminar	Delete	
174	Crear	Create	
175	Nombre de la nueva Empresa	Name for a new Set of Books	
176	Nº de Cuenta	Account no.	
177	Subcuenta	Sub-account	
178	Descripción	Description	
179	Grupo Informe 1	Reporting group 1	
180	Grupo Informe 2	Reporting group 2	
181	Pagos	Payments	
182	Recibos	Receipts	
183	Cuentas Bancarias	Bank accounts	
184	Cuentas de Items Abiertos	Open item account	
185	Nombre	Name	
186	Dirección	Address	
187	Teléfono 1	Phone 1	
188	Teléfono 2	Phone 2	
189	Fax	Fax	
190	Código Postal	Postal code	
191	Correo Electrónico	E-mail	
192	Límite de Crédito	Credit limit	
193	Importes a Cargar	Charge amount	
194	Saldo Actual	Current balance	
195	Último Pago	Last paid	
196	En	On	
197	Persona de Contacto	Contactperson	
198	Vendedor	Salesperson	
199	Dirección de Entrega	Delivery address	
200	Mensaje de Estado de Cuenta	Statement message	
201	Cuenta Deshabilitada	Account disabled	
202	RUT	Tax reference	
203	Descuento a Clientes	Customer discount	
204	Interés Mensual sobre Importes Vencidos	Monthly interest on overdue amounts	
205	%	%	
206	Ingresos/Gastos	Income statement	
207	Válido desde	Valid from	
208	A	To	
209	Porcentaje	Percentage	
210	Anual	Annual	
211	Débito	Debit	
212	Crédito	Credit	
213	Código de Inventario	Stock code	
214	Tamaño de Unidad	Units	
215	Último Coste	Latest cost	
216	Precio Venta 1	Selling price 1	
217	Precio Venta 2	Selling price 2	
218	Precio Venta 3	Selling price 3	
219	IVA Soportado	Input tax	
220	IVA Repercutido	Output tax	
221	Nivel de Reabastecimiento	Reorder level	
222	Aplicar Descuento en Facturas	Apply invoice discount	
223	Cuenta de Ventas	Sales account	
224	Coste de Ventas	Cost of sales	
225	Control de Inventario	Stock control	
226	Coste Medio	Average cost	
227	Cantidad Disponible	Quantity on hand	
228	Coste Total	Total cost	
229	Última Factura	Last invoice	
230	Desde Factura	From invoice	
231	Hasta Factura	To invoice	
232	Incluir Asientos Hasta	Include items until	
233	Saldo Bancario	Bank balance	
234	Nº Factura	Invoice no.	
235	Dirección Postal	Postal address	
236	Disponible	Available	
237	Su Referencia	Your reference	
238	Fecha	Date	
239	Mensaje	Message	
240	Enviar Informe A	Send report to	
241	Tipo de diario	Journal type	
242	Qué Año	Which year	
243	Desde Fecha de Informe	From reporting date	
244	Cada Período por Separado	Each period separately	
245	Mostrar Asientos de Balance	Show balancing entries	
246	Desde Cuenta	From account	
247	Secuencia	Sequence	
248	Incluir Saldos Cero	Include zero balances	
249	Opciones de Informe de Transacciones de Proveedores	Creditor transaction report options	
250	Cuentas Bancarias	Bank accounts	
251	Cuentas de Proveedores	Creditor accounts	
252	Cuentas de Clientes	Debtor accounts	
253	Cuentas del Libro Mayor	General ledger accounts	
254	Cuentas de Impuestos	Tax accounts	
255	Cuentas de Presupuesto	Budget accounts	
256	Cuentas Bancarias	Bank accounts	
257	Artículos de Inventario	Stock item	
258	Informes del Usuario	User report	
259	Conciliar Cuenta Bancaria	Reconcile bank account	
260	Facturación	Invoicing	
261	Opciones de informe - Tipo de diario	Journal type report options	
262	Opciones de Listado de Cuentas	Account list options	
263	Opciones de Análisis de Antigüedad de Clientes	Debtor age analysis options	
264	Importe Mínimo	Minimum amount	
265	Usar Item Abierto	Use open item	
266	Ignorar Saldos Cero	Ignore zero balances	
267	Mostrar Detalle de Cuenta	Show account detail	
268	Ordenar por Nombre	Sort by name	
269	Mostrar Transacciones	Show transactions	
270	Fecha de Antigüedad	Date of ageing	
271	hasta	up to	
272	Mes(es) hasta	Month(s) up to	
273	Opciones de Listado de Cuentas	Account list options	
274	Opciones de Movimiento de Clientes	Debtor movement options	
275	Opciones de Informe de Transacciones de Clientes	Debtor transaction report options	
276	Mostrar Subcuentas	Show sub-accounts	
277	Opciones de Ejecución de Presupuesto	Budget performance options	
278	Opciones de Libro Mayor	General ledger options	
279	Opciones de Movimiento de Proveedores	Creditor movement options	
280	Opciones de Movimiento de Cuentas del Mayor	General ledger account movement options	
281	Opciones de Balance de Sumas y Saldos	Trial balance options	
282	Desde	From	
283	Conciliación Bancaria	Bank reconciliation	
284	Desde Nº Factura	From invoice no.	
285	Hasta Nº Factura	To invoice no.	
286	Desde Fecha	From date	
287	Hasta Fecha	To date	
288	Opciones de Listado de Documentos	Documents listing options	
289	Desde Código de Inventario	From stock code	
290	Opciones de Actividad de Inventario	Stock activity options	
291	Control de Acceso	Access control	
292	Añadir	Add	
293	Eliminar	Delete	
294	Opciones de Seguridad	Security Options	
295	Contraseña de Usuario	User password	
296	Editar Cuentas	Edit accounts	
297	Editar Inventario	Edit stock	
298	Entrada de diario	Journal entry	
299	Nº Nota de Crédito	Credit note no.	
300	Facturas	Invoices	
301	Configuración del Sistema	System setup	
302	Compras	Purchases	
303	Devoluciones	Supplier returns	
304	Deshabilitado	Disabled	
305	Informes de Proveedores	Creditor reports	
306	Informes de Clientes	Debtor reports	
307	Informes del Libro Mayor	General ledger reports	
308	Informes de Inventario	Stock reports	
309	Informes del Usuario	User reports	
310	Registrar	Posting	
311	Procesos Globales	Global processes	
312	Tel.	Tel	
313	Nombre de Empresa	Company name	
314	Método de Impuestos	Tax method	
315	Cuenta Vencida	Due account	
316	RUT Empresa	Company reg. no.	
317	RUT Fiscal	Tax reg. no.	
318	Informe Importe con	Report amount with	
319	Pulse aquí para el formato de fecha de Windows	Set Windows date format/style	
320	Información de la Empresa	Company info	
321	Siguiente Nº Factura	Next invoice no.	
322	Diario de facturas	Invoice journal	
323	Tipo de Papel	Paper type	
324	Encabezado de Factura	Invoice heading	
325	Mensaje en Facturas	Invoice message	
326	Siguiente Nº Nota de Crédito	Next credit note no.	
327	Diario de notas de crédito	Credit note journal	
328	Encabezado de Nota de Crédito	Credit note heading	
329	Mensaje en Nota de Crédito	Credit note message	
330	Siguiente Nº Compra	Next purchase no.	
331	Diario de compras	Purchase journal	
332	Encabezado de Compras	Purchase heading	
333	Mensaje en Compras	Purchase message	
334	Siguiente Nº Devolución	Next return no.	
335	Diario de devoluciones	Supplier return journal	
336	Encabezado de Devolución	Supplier return heading	
337	Mensaje de Devolución	Supplier return message	
338	Siguiente Nº Pedido	Next order no.	
339	Encabezado de Pedido	Order heading	
340	Mensaje de Pedido	Order message	
341	Siguiente Nº Presupuesto	Next quote no.	
342	Encabezado de Presupuesto	Quote heading	
343	Mensaje de Presupuesto	Quote message	
344	Configurar Documentos	Documents setup	
345	Grupos	Groups	
346	Tipos de Pago	Payment types	
347	Configurar Estados de Cuenta	Statement setup	
348	Mensaje de Estado de Cuenta	Statement message	
349	Diario de coste de ventas	Cost of sales journal	
350	Información de Inventario	Stock information	
351	Crear Coste de Ventas	Create cost of sales	
352	Información General	General information	
353	Información Contable	Accounting information	
354	Estados de Cuenta	Statements	
355	Descripción	Description	
356	Editar	Edit	
357	Reiniciar	Reset	
358	Actualizar	Update	
359	Reenlazar Items Abiertos	Open item relink	
360	Enlazar Items Abiertos	Open item link	
365	Acerca de <@APPNAME@>	About <@APPNAME@>	
366	Entrada de diario	Journal entry	
367	^D: Eliminar	^D: Delete	
368	^N: Insertar	^N: Insert	
369	F5: Balance	F5: Balance	
370	F6: Registrar	F6: Post	
371	F7: Exclusivo	F7: Exclusive	
372	F8: Lista	F8: List	
373	F9: Procesar	F9: Process	
374	F10: Configurar	F10: Setup	
375	Importe Incluido:	Inclusive amount:	
376	Importe Excluido:	Exclusive amount:	
377	Referencia Total:	Reference total:	
378	Asignar:	Allocate to:	
379	Contra Cuenta:	Contra account:	
380	Ventas por Clientes	Sales per customer	
381	Ventas por Productos	Sales per product	
382	Ventas por Vendedores	Sales per salesperson	
383	Ventas por Grupos	Sales per group	
384	Opciones de Ventas por Clientes	Sales per customer options	
385	Opciones de Ventas por Producto	Sales per product options	
386	Opciones de Ventas por Vendedor	Sales per salesperson options	
387	Opciones de Ventas por Grupos	Sales per group options	
388	Desde Grupo	From group	
389	Desde Producto	From product	
390	Opciones de Informe de Impuestos	Tax report options	
391	Código de Impuesto	Tax code	
392	Mostrar Detalles	Show details	
393	Clásico	Classic	
394	Brillante	Brilliant	
395	Nuevo SA	New SA	
396	Tema	Theme	
397	Cristiano	Christian	
398	Cómico	Comic	
399	Egipto	Egypt	
400	Judío	Jewish	
401	Escocés	Scottish	
402	Espacio	Space	
403	Vida Salvaje	Wildlife	
404	Enlazar Items Abiertos	Open item link	
405	Actualizar Facturas	Update invoices	
406	Fecha de Estados de Cuenta	Date of statements	
407	Mostrar Transacciones de Impuestos	Show tax transactions	
408	Informes de Clientes	Debtor reports	
409	Mostrar Impuestos por Separado	Show tax separately	
410	Opciones de Movimiento de Inventario	Stock movement options	
411	Opciones de Listado de Inventario	Stock list options	
412	Información a Incluir	Information to include	
413	Cantidad	Quantity	
414	Precio de Coste	Cost price	
415	Conteo de Inventario	Stock count	
416	Precio de Venta	Selling price	
417	Valor de Inventario	Stock value	
418	Presupuestos	Quotes	
419	Devoluciones	Supplier returns	
420	Grupos de Cuentas	Account groups	
421	Grupos de Clientes	Debtor groups	
422	Grupos de Proveedores	Creditor groups	
423	Grupos de Inventario	Stock groups	
424	Grupos de Documentos	Document groups	
425	¡Advertencia, esto causará problemas graves en sus empresas! ¿Desea continuar?	Warning, this will seriously affect your Set of Books! Do you still wish to continue?	
426	¡Ha eliminado todos los usuarios! ¡El control de acceso se desactivará ahora!	You have chosen to delete all users! Access control will now be disabled!	
427	¡Hay diarios sin registrar asociados a este usuario! ¡Regístrelos o elimínelos antes de borrar este usuario!	There are unposted journals associated with this user! Please post or delete them before deleting this user.	
428	¡Hay diarios asociados a este usuario! ¡Seleccione un nuevo usuario para asignar estos diarios!	There are journals associated with this user! Please select a new user to assign these journals to.	
429	¡Hay transacciones asociadas a este usuario! ¡Seleccione un nuevo usuario para asignar estas transacciones!	There are transactions associated with this user! Please select a new user to assign these transactions to.	
430	¿Desea guardar los cambios de este usuario?	Do you wish to save the changes to this user?	
431	¡Introduzca una contraseña para este usuario!	Please type in a password for this user!	
432	¿Crear esta cuenta?	Create this account?	
433	¡Número de cuenta inválido! ¡El primer carácter debe ser un número!	Invalid account number! The first character must be a number!	
434	¡Esta no es una cuenta bancaria!	This is not a bank account!	
435	¿Desea guardar los cambios?	Do you want to save the changes?	
436	¡¡¡ERROR FATAL DE ARCHIVO 12!!!	!!! FATAL FILE ERROR 12 !!!	
437	¿Está seguro de que desea eliminar esta transacción?	Are you sure you wish to delete this transaction?	
438	¿Desea asignar esta transacción al año anterior?	Do you wish to allocate this transaction to last year?	
439	¡El diario no está balanceado!	Journal is not in balance!	
440	¡La cuenta no existe! ¿Desea crearla?	Account does not exist, do you wish to create it?	
441	¿Desea continuar con el informe?	Do you want to continue reporting?	
442	¡No puede eliminar este tipo de diario porque tiene transacciones asociadas!	Cannot delete this journal type! It has journals associated with it!	
443	¡Editar tipos de diario afectará gravemente su Empresa! ¿Está seguro de hacerlo?	Editing journal types will seriously affect your Set of Books! Are you sure you want to do this?	
444	¡Esto afectará gravemente su control de cuentas! ¿Desea cancelar ahora?	This will seriously affect your Set of Books! Do you wish to cancel now?	
445	¿Desea guardar estos cambios?	Do you want to save these changes?	
446	¿Está seguro de que desea crear la	Are you sure you want to create the	
447	empresa?	Set of Books?	
448	¡Empresa creada!	Set of Books created!	
449	¡Error al crear la empresa!	Error creating books!	
450	La	The	
451	empresa ya existe!	Set of Books already exist!	
452	¡La cuenta no puede estar vacía!	Account cannot be blank!	
453	¡Número de cuenta inválido! ¡El primer carácter debe ser un número!	The first character of the account number must be a number!	
454	¡Terminado!	Finished!	
455	¡Este directorio no contiene empresas de TurboCASH 2.01, 2.02 o 2.03!	This directory does not contain a TurboCASH 2.01, 2.02 or 2.03 Set of Books!	
456	¿Está seguro de que desea cancelar?	Are you sure you wish to cancel?	
457	¿Desea crear esta cuenta?	Do you want to create this account?	
458	¿Está seguro de que desea eliminar la	Are you sure you want to delete the	
459	empresa?	set of accounts?	
460	¿Está seguro de que desea eliminar esta cuenta?	Are you sure you want to delete this account?	
461	Esta cuenta contiene	This account contains	
462	¡subcuenta(s) y no puede eliminarse!	Sub-account(s) and cannot be deleted!	
463	¡No puede eliminar este artículo de inventario porque tiene transacciones!	You cannot delete this stock item! It has transactions!	
464	¿Está seguro de que desea eliminar este artículo de inventario?	Are you sure you want to delete this stock item?	
465	¡Artículo de inventario eliminado!	Stock item deleted!	
466	¡Este artículo de inventario no existe!	This stock item does not exist!	
467	¡Esta no es una cuenta del libro mayor!	This is not a general ledger account!	
468	¡Esta cuenta sigue activa! ¡Todas las transacciones se moverán a la nueva subcuenta! ¿Está seguro de crear la subcuenta?	This account is still active! All transactions will be moved to new sub-account! Are you sure you wish to create sub-account?	
469	¡Esta no es una cuenta de impuestos!	This is not a tax account!	
470	¡El importe de enlace debe ser menor o igual a	The link amount has to be less than or equal to	
471	¡No ha creado una empresa todavía!	You have not set up a Set of Books yet!	
472	¡Esta entrada ya está enlazada!	This entry is already linked!	
473	¡Nada para enlazar para este cliente!	Nothing to link for this debtor!	
474	¿Está seguro de que desea desenlazar esta entrada?	Are you sure you want to unlink this entry?	
475	Contraseña Inválida	Invalid password!	
476	¡¡¡Conflicto de fechas!!! Verifique fecha 1	Date conflict !!!! Check date 1	
477	¡¡¡Conflicto de fechas!!! Verifique fecha 2	Date conflict !!!! Check date 2	
478	¡¡¡Conflicto de fechas!!! Verifique fecha 3	Date conflict !!!! Check date 3	
479	¡¡¡Conflicto de fechas!!! Verifique fecha 4	Date conflict !!!! Check date 4	
480	¡¡¡Conflicto de fechas!!! Verifique fecha 5	Date conflict !!!! Check date 5	
481	¡¡¡Conflicto de fechas!!! Verifique fecha 6	Date conflict !!!! Check date 6	
482	¡¡¡Conflicto de fechas!!! Verifique fecha 7	Date conflict !!!! Check date 7	
483	¡¡¡Conflicto de fechas!!! Verifique fecha 8	Date conflict !!!! Check date 8	
